BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION
1,25800,513544.54,855909,DebtCon,Other,40.3,0,0,221.612887,17,14,,22173,dallas/fort worth,Missouri,West North Central,Midwest
0,1000,117199.85,146500,DebtCon,Other,0.7,0,0,51.658458,5,0,,20471,st. petersburg,Louisiana,West South Central,South
0,100,,855909,DebtCon,ProfExe,27.7,0,4,1076.103274,1,0,,20185,boise,Louisiana,West South Central,South
0,1000,22250,855909,DebtCon,,3.5,3,5,1030.75266,1,0,50,22215,boise,Minnesota,West North Central,Midwest
0,100,,,HomeImp,ProfExe,17.2,0,1,888.735947,,0,30.000001,21199,coeur d'alene,Florida,South Atlantic,South
0,4100,2250,855909,HomeImp,Other,3.3,10,2,420.691701,0,65,52.770115,21477,mc.henry-on/the (lake)  shores,Louisiana,West South Central,South
1,68500,254000,20000,DebtCon,Other,13.6,2,0,82.184587,3,0,40.000001,22718,raleigh (research triangle),Arizona,Mountain,West
1,27600,100000.02,20000,DebtCon,Self,5.7,3,4,419.67037,0,68,186.7919,22201,raleigh (research triangle),Alabama,East South Central,South
0,1000,513545.4,855909,,ProfExe,,0,0,700.22818,1,4,201.930383,22660,new york-city,Minnesota,West North Central,Midwest
0,1000,11999.98,20000,DebtCon,ProfExe,16.8,1,3,1116.773206,5,0,30.000001,20663,boise,Missouri,West North Central,Midwest
1,47300,244250,20000,DebtCon,Other,29.1,,1,116.302133,1,44,30.000001,20457,o'fallon,Maryland,South Atlantic,South
0,89600,,161000,,Other,3.8,1,1,732.896178,2,25,,22584,o'fallon,Ohio,East North Central,Midwest
0,88200,51250,,DebtCon,Other,17.5,0,1,1029.13277,3,28,30,21300,boise,Oregon,Pacific,West
0,1300,279000,855909,HomeImp,Other,34.1,10,0,499.16254,0,0,40,21523,o'fallon,Pennsylvania,Middle Atlantic,Northeast
0,64800,,364000,DebtCon,Office,9.8,10,1,880.747356,2,0,33.367185,22479,new york-city,Minnesota,West North Central,Midwest
0,100,256750,855909,DebtCon,Other,,0,3,124.500494,0,48,,21939,boise,California,Pacific,West
1,76600,,134000,HomeImp,Mgr,12.8,,2,1124.274549,1,0,50.000001,21189,springfield,Texas,West South Central,South
0,100,,855909,DebtCon,ProfExe,17.1,4,2,625.954836,1,11,114.494186,20129,boise,California,Pacific,West
0,27300,239250,855909,DebtCon,ProfExe,3.2,4,15,1007.52199,0,0,76.930251,22701,dallas/fort worth,Maryland,South Atlantic,South
0,100,115750,855909,HomeImp,Mgr,,1,5,836.881643,0,23,87.759315,21119,springfield,Wisconsin,East North Central,Midwest
0,1000,159000,185000,DebtCon,Other,0.3,2,0,617.234969,0,31,,22446,winston-salem,Georgia,South Atlantic,South
0,1000,208250,20000,,Other,39,1,0,466.509206,17,0,29.999999,20689,port  saint  lucie,Tennessee,East South Central,South
0,100,89250,20000,DebtCon,Other,28.8,0,0,68.930802,1,2,30,22247,springfield,Tennessee,East South Central,South
0,100,11000,198500,DebtCon,Other,25.1,0,3,1002.754425,1,0,,21169,boise,New York,Middle Atlantic,Northeast
0,100,90250,855909,,,35.9,0,3,,1,24,131.069911,22561,mc.henry-on/the (lake)  shores,Georgia,South Atlantic,South
0,1000,295250,855909,DebtCon,Other,28.5,2,0,,1,51,30.000001,20877,springfield,Texas,West South Central,South
0,100,53400.09,89000,,,13.3,1,0,559.401515,3,43,,20179,mc.henry-on/the (lake)  shores,Wisconsin,East North Central,Midwest
0,74800,0,20000,HomeImp,,6.4,4,0,606.52204,1,0,83.613848,21516,raleigh (research triangle),Minnesota,West North Central,Midwest
0,1000,16000.02,20000,DebtCon,Mgr,3.3,,2,881.317458,3,56,34.840503,20213,st. petersburg,Louisiana,West South Central,South
1,1000,513546.26,855909,DebtCon,Other,17.8,0,4,14.575036,0,0,50,22451,wilkes-barre/scranton,Florida,South Atlantic,South
0,1000,,20000,DebtCon,Office,,10,0,42.847701,1,0,30,22160,o'fallon,Massachusetts,New England,Northeast
1,1000,110000,855909,DebtCon,Other,20.9,1,,1107.271852,0,15,39.999999,21240,raleigh (research triangle),Missouri,West North Central,Midwest
0,1000,180000,855909,HomeImp,Office,28.3,0,0,591.584278,1,0,189.016496,20190,new york-city,Colorado,Mountain,West
0,100,232500,247000,HomeImp,Other,25.8,1,5,1139.341144,0,2,,20936,springfield,Oregon,Pacific,West
1,81700,4279545.86,855909,HomeImp,ProfExe,3.7,0,2,712.839648,1,20,130.754101,22307,boise,Illinois,East North Central,Midwest
0,1000,5250,344500,HomeImp,Mgr,21.9,0,0,251.963159,1,0,,22131,springfield,Ohio,East North Central,Midwest
0,77700,16000,20000,,ProfExe,2.4,4,0,291.961716,1,69,57.333063,20887,mc.henry-on/the (lake)  shores,Colorado,Mountain,West
0,1000,,185500,,Office,,1,0,1113.688446,5,33,128.476679,22765,coeur d'alene,Connecticut,New England,Northeast
0,100,113250,855909,DebtCon,Mgr,5.2,0,15,0.7022,1,0,29.999999,20651,st. petersburg,Alabama,East South Central,South
0,1000,170250,855909,DebtCon,ProfExe,18.9,1,5,1066.296725,1,0,50.000001,21935,port  saint  lucie,Arizona,Mountain,West
0,84300,15999.98,20000,DebtCon,Other,16.3,0,1,109.358319,0,0,29.999999,21698,mc.henry-on/the (lake)  shores,Texas,West South Central,South
0,1000,245600,,DebtCon,Other,8.2,,0,778.160843,17,0,95.907557,21194,coeur d'alene,Georgia,South Atlantic,South
0,1000,15999.98,20000,DebtCon,Office,6.5,2,5,743.088978,3,23,127.474706,22401,dallas/fort worth,Massachusetts,New England,Northeast
0,74800,12000,20000,HomeImp,Other,19.2,1,1,580.124932,2,31,118.101702,21882,boise,Minnesota,West North Central,Midwest
0,100,143500,855909,DebtCon,Office,23.2,1,0,148.478074,2,0,54.698459,21456,winston-salem,Alabama,East South Central,South
0,100,44250,855909,DebtCon,Office,30.2,0,,1015.152263,1,63,30,21116,boise,Alabama,East South Central,South
0,100,,20000,HomeImp,ProfExe,30.6,,0,879.573929,1,0,40,20486,springfield,Massachusetts,New England,Northeast
0,100,4279545,855909,DebtCon,Other,2.4,0,4,542.034727,2,2,37.925113,22862,raleigh (research triangle),Ohio,East North Central,Midwest
0,11100,0,309500,HomeImp,Other,,0,,1106.310848,17,0,25.385527,22928,dallas/fort worth,Tennessee,East South Central,South
1,2700,513546.26,855909,DebtCon,Office,21.3,,0,318.792491,1,67,195.143818,20685,mc.henry-on/the (lake)  shores,Pennsylvania,Middle Atlantic,Northeast
1,100,76800,128000,DebtCon,Other,5.9,0,4,129.580013,1,,50.000001,21526,springfield,Florida,South Atlantic,South
0,100,23000,855909,DebtCon,Mgr,37.6,0,4,221.174345,5,0,52.058627,22191,springfield,Maryland,South Atlantic,South
0,1000,32000,97000,DebtCon,Office,19.5,3,3,582.398164,,0,50,21179,port  saint  lucie,Texas,West South Central,South
0,83100,12000.02,20000,DebtCon,ProfExe,16.4,1,,40.383881,1,0,49.999999,22477,port  saint  lucie,Oregon,Pacific,West
0,,63400,100000,DebtCon,Other,,4,,239.801327,2,25,29.999999,20538,wilkes-barre/scranton,Missouri,West North Central,Midwest
1,9000,684728.06,855909,HomeImp,Office,0.5,1,4,920.829533,17,41,,21534,st. petersburg,Texas,West South Central,South
1,3200,224000,20000,DebtCon,Other,38.5,10,3,52.620009,2,58,49.999999,20156,raleigh (research triangle),Wisconsin,East North Central,Midwest
0,1000,23600.03,29500,DebtCon,,22.8,0,1,844.832325,1,70,11.281861,20109,springfield,Pennsylvania,Middle Atlantic,Northeast
0,100,42750,20000,DebtCon,Mgr,29.3,,0,996.844091,17,0,67.451455,21306,o'fallon,Maryland,South Atlantic,South
0,100,134500,261000,HomeImp,Mgr,33.6,0,5,284.164944,17,0,,21356,springfield,Illinois,East North Central,Midwest
0,34700,60000,100000,HomeImp,,8.8,1,1,467.03831,0,1,30,20332,mc.henry-on/the (lake)  shores,California,Pacific,West
1,1000,12000.02,20000,DebtCon,ProfExe,17.6,1,0,680.185489,1,56,63.649431,20956,boise,New York,Middle Atlantic,Northeast
1,100,180500,20000,,Other,,0,3,598.884932,3,67,22.833794,20097,port  saint  lucie,Texas,West South Central,South
0,84300,513545.4,855909,DebtCon,Other,3.8,10,2,51.10961,1,0,,21145,dallas/fort worth,Tennessee,East South Central,South
0,42400,179500,855909,DebtCon,Other,,10,0,47.138585,17,61,50,22632,new york-city,California,Pacific,West
1,6300,,855909,,Other,17.2,4,1,472.304673,5,44,142.356006,20660,springfield,Georgia,South Atlantic,South
0,1000,203250,855909,DebtCon,Other,15.9,10,1,1096.47986,5,70,,20657,st. petersburg,Alabama,East South Central,South
0,29400,513544.54,855909,DebtCon,Other,24.8,1,4,779.584862,,5,158.219987,22886,coeur d'alene,Oregon,Pacific,West
0,1000,213500,292000,DebtCon,Mgr,5.2,1,1,,,0,30.000001,22310,springfield,Oregon,Pacific,West
0,1000,0,328000,HomeImp,Other,37.1,0,0,,3,69,,22484,boise,Georgia,South Atlantic,South
1,14800,513545.4,855909,HomeImp,Mgr,40.4,4,4,1061.446236,,0,8.615504,21357,springfield,Ohio,East North Central,Midwest
1,100,293750,166500,HomeImp,,14.8,0,0,974.212326,1,0,30.000001,22019,springfield,Louisiana,West South Central,South
0,1000,16000.02,20000,DebtCon,ProfExe,2.5,0,0,63.491165,3,0,128.363094,21380,wilkes-barre/scranton,Massachusetts,New England,Northeast
0,1000,13750,855909,DebtCon,Other,7.7,1,5,657.157731,1,,51.321994,22857,mc.henry-on/the (lake)  shores,California,Pacific,West
1,1000,513544.54,,DebtCon,Other,32.1,0,3,832.422878,5,0,,21447,springfield,New York,Middle Atlantic,Northeast
0,1000,235500,20000,DebtCon,Other,19.5,1,3,1020.653378,1,26,,20191,springfield,Connecticut,New England,Northeast
0,1000,161000,855909,HomeImp,Self,25.7,0,,631.767909,17,0,12.964189,22882,springfield,Tennessee,East South Central,South
2,30500,84500,100000,DebtCon,Other,,0,2,97.900785,2,37,29.999999,22576,,Massachusetts,New England,Northeast
0,1000,87000,20000,DebtCon,Mgr,33,2,5,1071.603033,3,0,101.444779,22929,,New York,Middle Atlantic,Northeast
0,1000,184000,154500,DebtCon,Other,40.1,0,2,527.025324,2,0,30,22158,o'fallon,Illinois,East North Central,Midwest
0,100,100000.02,20000,HomeImp,Other,11.9,0,0,86.569115,1,,,20570,dallas/fort worth,Wisconsin,East North Central,Midwest
0,20900,1752500,350500,DebtCon,Office,39.2,0,1,211.615092,,43,75.001721,22916,coeur d'alene,Texas,West South Central,South
1,1000,513545.4,855909,HomeImp,Self,3.6,0,2,274.788959,2,40,171.87096,22691,port  saint  lucie,Arizona,Mountain,West
0,61800,8250,20000,DebtCon,Office,10.9,,1,832.285136,0,21,84.55062,21152,springfield,Georgia,South Atlantic,South
0,100,39250,855909,DebtCon,Office,23.5,0,,247.640456,1,19,30,20300,st. petersburg,Oregon,Pacific,West
1,1000,,20000,HomeImp,,7,0,1,63.169833,5,34,1.660901,20659,new york-city,Florida,South Atlantic,South
0,100,274500,308500,HomeImp,Other,14.7,3,15,82.074164,,68,182.532117,22525,dallas/fort worth,Georgia,South Atlantic,South
0,1000,33000,855909,DebtCon,Other,27,1,0,4.677676,0,2,47.780629,21817,winston-salem,Louisiana,West South Central,South
1,1000,0,855909,DebtCon,Other,25.7,0,3,587.790999,,4,109.0762,22438,dallas/fort worth,Louisiana,West South Central,South
1,80000,16000.02,20000,HomeImp,ProfExe,14.2,1,2,1164.381001,0,0,30,22599,wilkes-barre/scranton,Wisconsin,East North Central,Midwest
0,100,,855909,HomeImp,Other,38.1,0,0,467.480856,2,0,,21680,o'fallon,Colorado,Mountain,West
1,1000,22000,390000,DebtCon,ProfExe,,3,5,,1,0,,21094,boise,Connecticut,New England,Northeast
0,24900,499999,100000,DebtCon,ProfExe,,3,4,18.554603,2,37,50,21075,port  saint  lucie,Minnesota,West North Central,Midwest
0,1000,103000,337000,,Office,38.3,,0,114.476105,2,0,40.331452,21748,raleigh (research triangle),Alabama,East South Central,South
0,1000,,20000,DebtCon,Mgr,12,3,0,13.333173,0,0,39.999999,22929,port  saint  lucie,Ohio,East North Central,Midwest
0,100,684728.06,855909,DebtCon,Self,16.7,2,1,42.571476,0,0,,21702,raleigh (research triangle),New York,Middle Atlantic,Northeast
0,84500,240750,392000,DebtCon,Other,13.2,0,,981.193312,3,0,30,21441,springfield,Tennessee,East South Central,South
0,100,172750,855909,DebtCon,ProfExe,22.8,10,15,1061.830666,1,38,94.517181,22291,boise,Louisiana,West South Central,South
0,1000,234000,855909,DebtCon,,33.8,2,,931.056954,5,17,50,21627,,Maryland,South Atlantic,South
0,1000,149750,20000,DebtCon,Office,8.1,1,3,1132.479088,3,0,50,21656,wilkes-barre/scranton,Ohio,East North Central,Midwest
1,1000,36250,855909,HomeImp,Other,5.8,4,3,530.683582,1,,1.805856,22386,wilkes-barre/scranton,Arizona,Mountain,West
0,40900,12000,20000,HomeImp,Other,20.3,10,0,61.19339,5,0,39.999999,21158,port  saint  lucie,Texas,West South Central,South
1,100,513545.4,855909,DebtCon,Other,,2,0,715.614299,2,0,179.759786,20858,raleigh (research triangle),Maryland,South Atlantic,South
0,100,298000,855909,DebtCon,Other,38.9,0,1,149.736494,1,,191.813213,21287,dallas/fort worth,Oregon,Pacific,West
0,100,,855909,,Mgr,29.7,1,5,805.451178,1,13,30.000001,21206,winston-salem,Georgia,South Atlantic,South
0,67100,225250,855909,DebtCon,ProfExe,,1,1,210.084519,0,0,43.610849,22564,port  saint  lucie,California,Pacific,West
1,69700,230000,855909,DebtCon,Mgr,2.8,2,5,925.888934,3,46,,20448,o'fallon,Florida,South Atlantic,South
1,100,,855909,DebtCon,Other,27.4,0,4,178.121615,3,34,0.61263,22795,wilkes-barre/scranton,Ohio,East North Central,Midwest
0,61400,137750,258000,,ProfExe,9,3,2,,3,0,39.999999,21920,springfield,Massachusetts,New England,Northeast
1,100,0,855909,DebtCon,Office,3.6,0,15,692.341413,0,0,111.92881,20134,springfield,Connecticut,New England,Northeast
0,1000,0,135500,DebtCon,,,0,5,,2,23,50.000001,22399,o'fallon,Massachusetts,New England,Northeast
0,29400,70000,100000,HomeImp,Other,17.5,0,1,37.396253,1,13,35,21099,springfield,Oregon,Pacific,West
0,1000,93250,262000,DebtCon,Other,25.2,0,0,,0,0,39.999999,22565,springfield,Wisconsin,East North Central,Midwest
0,1000,209000,107000,DebtCon,Other,26.4,10,,417.696968,,0,50,21923,winston-salem,New York,Middle Atlantic,Northeast
0,1000,213600,267000,DebtCon,ProfExe,36.7,0,1,227.83059,17,70,29.999999,20331,springfield,Colorado,Mountain,West
0,1000,24500,20000,DebtCon,ProfExe,0.4,,3,1089.047527,0,34,30.000001,22728,boise,California,Pacific,West
1,100,16750,855909,DebtCon,ProfExe,35.4,1,,648.202523,1,8,,20354,springfield,Texas,West South Central,South
1,1000,684726.34,855909,HomeImp,Office,8.8,,5,1025.062778,,,,22705,boise,Florida,South Atlantic,South
0,100,167250,20000,DebtCon,Other,2,0,15,,17,44,27.419756,21072,o'fallon,Louisiana,West South Central,South
0,100,,20000,DebtCon,Other,35.4,0,2,510.348382,,,56.68455,20954,new york-city,Colorado,Mountain,West
0,65300,95500,20000,DebtCon,Other,20.5,,1,470.812024,5,46,,21055,springfield,Connecticut,New England,Northeast
1,1000,128800.16,161000,DebtCon,Other,5.4,1,1,259.285512,1,0,87.820741,20208,springfield,California,Pacific,West
0,80500,116750,855909,DebtCon,Other,27.3,0,0,806.274414,,55,30,22744,coeur d'alene,Arizona,Mountain,West
0,51600,58750,254500,DebtCon,Other,17.2,3,4,281.591352,0,0,39.999999,22813,,Maryland,South Atlantic,South
0,100,283000,324000,DebtCon,ProfExe,29.5,10,3,558.867902,2,0,73.920929,21777,wilkes-barre/scranton,Tennessee,East South Central,South
0,20500,513546.26,855909,DebtCon,Office,11.8,0,2,69.30398,1,0,,21402,new york-city,New York,Middle Atlantic,Northeast
1,100,298750,20000,DebtCon,Other,32.2,4,15,413.544451,17,0,133.329117,21688,st. petersburg,Missouri,West North Central,Midwest
1,100,12000,20000,HomeImp,Self,4.5,0,0,528.040859,17,0,39.999999,21414,springfield,Texas,West South Central,South
1,100,14700.02,24500,HomeImp,Mgr,34.5,2,0,,,0,15.251059,22512,winston-salem,Illinois,East North Central,Midwest
0,1000,16000.02,20000,DebtCon,Office,1.8,4,0,,2,0,114.688355,21956,o'fallon,Wisconsin,East North Central,Midwest
0,1000,123250,20000,DebtCon,Office,14.8,10,15,90.22585,,0,,22151,springfield,California,Pacific,West
0,1000,262250,229000,HomeImp,Self,31.6,2,4,457.495078,5,0,4.458679,22255,wilkes-barre/scranton,Missouri,West North Central,Midwest
1,17100,513546.26,,HomeImp,ProfExe,33.8,,2,454.938573,5,20,,20737,wilkes-barre/scranton,Pennsylvania,Middle Atlantic,Northeast
0,10300,85000,100000,DebtCon,Office,13.2,1,1,66.208009,2,19,45,22101,o'fallon,Pennsylvania,Middle Atlantic,Northeast
0,68100,83250,855909,DebtCon,ProfExe,15.3,0,1,847.983771,17,0,61.223287,21699,wilkes-barre/scranton,Texas,West South Central,South
1,,47100,100000,DebtCon,Other,39.3,2,4,63.051892,2,20,,21019,new york-city,Alabama,East South Central,South
0,100,196750,855909,DebtCon,Other,17.5,0,15,,0,61,11.708146,22663,coeur d'alene,Georgia,South Atlantic,South
0,100,12000.02,20000,DebtCon,ProfExe,40,,0,61.748865,5,0,157.424904,21064,new york-city,Illinois,East North Central,Midwest
0,1000,684726.34,855909,HomeImp,ProfExe,22.6,0,,1159.021881,,,153.937653,22233,new york-city,Arizona,Mountain,West
0,100,116000,855909,DebtCon,Other,9.4,,,122.289227,1,0,157.986672,20332,new york-city,Maryland,South Atlantic,South
0,1000,175000,20000,DebtCon,Other,31.2,0,,1145.63852,0,0,29.999999,22209,st. petersburg,Tennessee,East South Central,South
0,88000,1379999.72,276000,DebtCon,Mgr,28.7,3,0,,1,0,,23004,mc.henry-on/the (lake)  shores,Minnesota,West North Central,Midwest
0,100,211500,,DebtCon,Other,,0,15,167.716274,3,0,49.999999,22953,winston-salem,Massachusetts,New England,Northeast
0,14800,176500,284000,HomeImp,Other,,1,15,1142.466432,17,0,103.737945,20958,o'fallon,Connecticut,New England,Northeast
0,87100,106000,855909,DebtCon,Other,11.4,,4,941.658457,1,0,110.115002,20959,wilkes-barre/scranton,Louisiana,West South Central,South
1,1000,124000,181000,HomeImp,ProfExe,31.9,0,0,712.808523,1,0,50.000001,20709,springfield,Tennessee,East South Central,South
0,35100,0,855909,DebtCon,Other,26,2,0,166.774824,3,50,39.999999,20150,springfield,Illinois,East North Central,Midwest
0,80500,16000,20000,DebtCon,Other,23.7,1,3,,0,33,138.975404,22670,wilkes-barre/scranton,Tennessee,East South Central,South
0,19300,238800,398000,DebtCon,,19.6,0,0,663.772356,0,6,77.714553,20735,wilkes-barre/scranton,Wisconsin,East North Central,Midwest
1,1000,16000.02,20000,DebtCon,ProfExe,17.7,10,0,180.647407,2,0,20.410393,21894,boise,Alabama,East South Central,South
0,100,0,855909,DebtCon,Other,29.6,,2,534.132119,0,0,23.947851,21496,raleigh (research triangle),Maryland,South Atlantic,South
1,100,120500,287500,DebtCon,Other,23.1,,1,1124.936881,1,0,,20173,winston-salem,Oregon,Pacific,West
0,86600,16000.02,20000,DebtCon,Other,37.5,,0,442.134043,2,59,108.642514,20267,boise,Missouri,West North Central,Midwest
0,20900,,20000,DebtCon,Sales,,4,15,869.54474,,66,63.492665,21060,coeur d'alene,New York,Middle Atlantic,Northeast
0,33700,4279544.14,855909,DebtCon,Other,25.3,0,2,960.449616,1,60,155.180849,20286,new york-city,Pennsylvania,Middle Atlantic,Northeast
0,1000,80000,855909,DebtCon,ProfExe,5.8,0,15,1145.863781,5,0,,22516,coeur d'alene,Wisconsin,East North Central,Midwest
0,52500,,855909,DebtCon,,37.2,1,3,850.565436,,0,39.999999,21959,winston-salem,Minnesota,West North Central,Midwest
0,11900,55600,0,DebtCon,Other,10.8,2,3,481.671349,,52,50.000001,21576,dallas/fort worth,Arizona,Mountain,West
0,100,100000.02,20000,DebtCon,Other,14.1,0,0,1071.865861,3,4,,20683,dallas/fort worth,Colorado,Mountain,West
0,85300,513544.54,855909,HomeImp,Office,29.3,10,15,985.791925,5,24,,20784,st. petersburg,Texas,West South Central,South
1,5300,85000,100000,HomeImp,Office,37.8,0,0,208.233368,1,55,45,21352,springfield,Minnesota,West North Central,Midwest
0,1000,22500,114000,DebtCon,Office,31.5,,0,310.609327,5,28,30.000001,21693,springfield,Minnesota,West North Central,Midwest
0,29400,100000.02,20000,HomeImp,Other,20.3,,0,842.646229,,0,150.030708,21439,port  saint  lucie,Alabama,East South Central,South
0,1000,4279544.14,855909,DebtCon,Sales,23.7,0,3,,1,48,29.999999,20143,st. petersburg,Tennessee,East South Central,South
1,1000,0,20000,DebtCon,Other,18.3,0,0,,2,62,24.02191,20590,boise,Louisiana,West South Central,South
0,100,114500,301000,HomeImp,Office,,4,,1034.638138,5,3,,21488,springfield,Massachusetts,New England,Northeast
0,1000,17750,20000,DebtCon,Other,40.5,10,1,985.218263,0,14,50,21549,raleigh (research triangle),California,Pacific,West
0,100,4279545.86,855909,HomeImp,Other,13.8,1,3,59.805885,5,4,168.561915,20338,dallas/fort worth,Colorado,Mountain,West
1,1000,197750,855909,DebtCon,Other,11.3,0,0,95.717574,5,0,50,21672,o'fallon,Wisconsin,East North Central,Midwest
0,1000,43000,855909,DebtCon,Office,33.4,0,,637.430755,1,26,182.825494,22063,springfield,Colorado,Mountain,West
0,62300,228750,855909,,Mgr,,10,15,1014.220145,0,0,59.20774,21878,springfield,Wisconsin,East North Central,Midwest
1,1000,151000,85500,DebtCon,Office,7.6,0,2,155.946443,17,0,,22869,port  saint  lucie,Texas,West South Central,South
1,16900,293500,,DebtCon,Office,33.7,1,0,576.205646,5,61,98.190755,21974,coeur d'alene,California,Pacific,West
0,1000,257750,,DebtCon,ProfExe,34.8,0,1,921.355673,,50,100.602464,21938,,Arizona,Mountain,West
0,1000,251500,20000,,Other,25.1,10,0,672.254889,2,0,50.000001,21160,springfield,Illinois,East North Central,Midwest
0,1000,214000,20000,HomeImp,ProfExe,18.8,0,0,412.790924,0,35,38.650981,21532,springfield,Georgia,South Atlantic,South
0,100,5250,855909,DebtCon,Other,37.2,2,15,,0,62,39.999999,20393,,Missouri,West North Central,Midwest
0,53800,193000,855909,,,18.1,0,0,935.798255,1,0,30,21935,new york-city,Florida,South Atlantic,South
0,35800,842500,168500,DebtCon,Other,26.8,0,15,370.530451,17,0,113.177703,20598,coeur d'alene,Tennessee,East South Central,South
0,100,513546.26,855909,DebtCon,ProfExe,12.6,,0,311.735222,1,0,29.999999,22265,springfield,California,Pacific,West
0,66600,106000,855909,DebtCon,Office,37.1,3,5,498.68101,5,0,29.999999,22662,springfield,Arizona,Mountain,West
0,26400,103500,855909,DebtCon,Office,,10,,587.126725,1,11,75.673977,22023,dallas/fort worth,Pennsylvania,Middle Atlantic,Northeast
0,100,21000,20000,DebtCon,Self,33.4,1,1,411.610593,0,33,87.919663,21872,coeur d'alene,Alabama,East South Central,South
0,1000,278250,20000,DebtCon,Mgr,13.4,1,1,741.924745,2,23,108.474999,22360,springfield,Georgia,South Atlantic,South
1,33800,85000,100000,DebtCon,ProfExe,28,0,2,336.275651,2,43,45,20154,springfield,Illinois,East North Central,Midwest
1,32300,500000,100000,HomeImp,Other,26.2,2,5,463.185842,2,49,,22179,boise,Tennessee,East South Central,South
0,1000,210500,20000,DebtCon,Other,4.6,10,5,1151.544041,1,62,40.000001,20493,dallas/fort worth,New York,Middle Atlantic,Northeast
1,26500,119400.2,199000,,,,3,0,833.228581,1,0,,22430,coeur d'alene,Minnesota,West North Central,Midwest
0,1000,236000,855909,HomeImp,,18.4,2,5,333.973553,5,34,30.000001,20924,,Illinois,East North Central,Midwest
1,100,22000,20000,DebtCon,Office,26.2,,0,1119.142484,0,,49.999999,22897,,Tennessee,East South Central,South
0,100,684726.34,855909,DebtCon,Other,14.6,0,5,234.264294,1,0,4.928738,21675,winston-salem,Georgia,South Atlantic,South
0,1000,129750,33500,DebtCon,ProfExe,26.3,,3,365.075609,0,56,103.949716,22117,springfield,Wisconsin,East North Central,Midwest
0,53000,271750,20000,DebtCon,,19.3,4,2,436.645346,3,0,,22262,st. petersburg,Georgia,South Atlantic,South
